0xb9,_BOX,int,a1,const struct iocs_boxptr *,p,,,,,,,,,,,,,,,,グラフィック画面のボックス
0xba,_FILL,int,a1,const struct iocs_fillptr *,p,,,,,,,,,,,,,,,,グラフィック画面のボックスフィル
0xbb,_CIRCLE,int,a1,const struct iocs_circleptr *,p,,,,,,,,,,,,,,,,グラフィック画面のサークル
0xbc,_PAINT,int,a1,struct iocs_paintptr *,p,,,,,,,,,,,,,,,,グラフィック画面のペイント
0xbd,_SYMBOL,int,a1,const struct iocs_symbolptr *,p,,,,,,,,,,,,,,,,グラフィック画面のシンボル
0xbe,_GETGRM,int,a1,struct iocs_getptr *,p,,,,,,,,,,,,,,,,グラフィック画面のドット単位読み込み
0xbf,_PUTGRM,int,a1,const struct iocs_putptr *,p,,,,,,,,,,,,,,,,グラフィック画面のドット単位書き込み
0xc0,_SP_INIT,int,,,,,,,,,,,,,,,,,,,スプライト初期化
0xc1,_SP_ON,int,,,,,,,,,,,,,,,,,,,スプライト表示
0xc2,_SP_OFF,void,,,,,,,,,,,,,,,,,,,スプライト消去
0xc3,_SP_CGCLR,int,d1,int,pattern_code,,,,,,,,,,,,,,,,スプライトパターンのクリア
0xc4,_SP_DEFCG,int,d1,int,code,d2,int,size,a1,const void *,data,,,,,,,,,,スプライトパターンの定義
0xc5,_SP_GTPCG,int,d1,int,code,d2,int,size,a1,void *,buf,,,,,,,,,,スプライトパターンの読み込み
0xc6,_SP_REGST,int,d0,int,spriteno,d1,int,mode,d2,int,x,d3,int,y,d4,int,code,d5,int,prw,スプライトレジスタの設定
0xc7,_SP_REGGT,int,d1,int,spriteno,=d2,int *,x,=d3,int *,y,=d4,int *,code,=d5,int *,prw,,,,スプライトレジスタの読み出し
0xc8,_BGSCRLST,int,d1,int,vblank_bg,d2,int,x,d3,int,y,,,,,,,,,,バックグラウンドスクロールレジスタの設定
0xc9,_BGSCRLGT,int,d1,int,bg_num,=d2,int *,x,=d3,int *,y,,,,,,,,,,バックグラウンドスクロールレジスタの読み出し
0xca,_BGCTRLST,int,d1,int,bg,d2,int,text_page,d3,int,show,,,,,,,,,,バックグラウンドコントロールレジスタの設定
0xcb,_BGCTRLGT,int,d1,int,bg,,,,,,,,,,,,,,,,バックグラウンドコントロールレジスタの読み出し
